date,block_number
2021-05-05,12370863
2021-05-06,12377381
2021-05-07,12383847
2021-05-08,12390294
2021-05-09,12396780
2021-05-10,12403258
2021-05-11,12409775
2021-05-12,12416222
2021-05-13,12422661
2021-05-14,12429199
2021-05-15,12435676
2021-05-16,12442150
2021-05-17,12448608
2021-05-18,12455027
2021-05-19,12461490
2021-05-20,12467913
2021-05-21,12474376
2021-05-22,12480786
2021-05-23,12487248
2021-05-24,12493702
2021-05-25,12500189
2021-05-26,12506593
2021-05-27,12513024
2021-05-28,12519449
2021-05-29,12525912
2021-05-30,12532379
2021-05-31,12538796
2021-06-01,12545219
2021-06-02,12551697
2021-06-03,12558203
2021-06-04,12564607
2021-06-05,12571126
2021-06-06,12577560
2021-06-07,12584092
2021-06-08,12590523
2021-06-09,12596998
2021-06-10,12603435
2021-06-11,12609897
2021-06-12,12616351
2021-06-13,12622785
2021-06-14,12629258
2021-06-15,12635689
2021-06-16,12642194
2021-06-17,12648593
2021-06-18,12655065
2021-06-19,12661470
2021-06-20,12667896
2021-06-21,12674365
2021-06-22,12680681
2021-06-23,12687118
2021-06-24,12693547
2021-06-25,12699965
2021-06-26,12706307
2021-06-27,12712734
2021-06-28,12719182
2021-06-29,12725648
2021-06-30,12732054
2021-07-01,12738509
2021-07-02,12744859
2021-07-03,12751296
2021-07-04,12757713
2021-07-05,12764171
2021-07-06,12770590
2021-07-07,12777015
2021-07-08,12783405
2021-07-09,12789855
2021-07-10,12796261
2021-07-11,12802708
2021-07-12,12809131
2021-07-13,12815508
2021-07-14,12821815
2021-07-15,12828205
2021-07-16,12834632
2021-07-17,12840971
2021-07-18,12847328
2021-07-19,12853699
2021-07-20,12860134
2021-07-21,12866473
2021-07-22,12872887
2021-07-23,12879309
2021-07-24,12885655
2021-07-25,12892112
2021-07-26,12898513
2021-07-27,12904851
2021-07-28,12911128
2021-07-29,12917419
2021-07-30,12923775
2021-07-31,12930042
2021-08-01,12936340
2021-08-02,12942654
2021-08-03,12949050
2021-08-04,12955396
2021-08-05,12961718
2021-08-06,12968067
2021-08-07,12974518
2021-08-08,12981067
2021-08-09,12987563
2021-08-10,12994068
2021-08-11,13000575
2021-08-12,13006976
2021-08-13,13013486
2021-08-14,13019960
2021-08-15,13026460
2021-08-16,13032880
2021-08-17,13039380
2021-08-18,13045896
2021-08-19,13052295
2021-08-20,13058860
2021-08-21,13065319
2021-08-22,13071750
2021-08-23,13078271
2021-08-24,13084680
2021-08-25,13091189
2021-08-26,13097628
2021-08-27,13104132
2021-08-28,13110563
2021-08-29,13117023
2021-08-30,13123512
2021-08-31,13129984
2021-09-01,13136427
2021-09-02,13142882
2021-09-03,13149423
2021-09-04,13155889
2021-09-05,13162318
2021-09-06,13168847
2021-09-07,13175306
2021-09-08,13181723
2021-09-09,13188218
2021-09-10,13194684
2021-09-11,13201143
2021-09-12,13207539
2021-09-13,13214077
2021-09-14,13220489
2021-09-15,13226950
2021-09-16,13233404
2021-09-17,13239896
2021-09-18,13246363
2021-09-19,13252814
2021-09-20,13259322
2021-09-21,13265754
2021-09-22,13272250
2021-09-23,13278687
2021-09-24,13285098
2021-09-25,13291553
2021-09-26,13298126
2021-09-27,13304528
2021-09-28,13310982
2021-09-29,13317340
2021-09-30,13323752
2021-10-01,13330090
2021-10-02,13336575
2021-10-03,13342963
2021-10-04,13349326
2021-10-05,13355692
2021-10-06,13362103
2021-10-07,13368530
2021-10-08,13374854
2021-10-09,13381271
2021-10-10,13387620
2021-10-11,13393995
2021-10-12,13400377
2021-10-13,13406730
2021-10-14,13413050
2021-10-15,13419380
2021-10-16,13425698
2021-10-17,13432144
2021-10-18,13438529
2021-10-19,13444845
2021-10-20,13451285
2021-10-21,13457639
2021-10-22,13464126
2021-10-23,13470537
2021-10-24,13476885
2021-10-25,13483244
2021-10-26,13489662
2021-10-27,13496076
2021-10-28,13502421
2021-10-29,13508829
2021-10-30,13515197
2021-10-31,13521542
2021-11-01,13527859
2021-11-02,13534282
2021-11-03,13540590
2021-11-04,13546975
2021-11-05,13553257
2021-11-06,13559703
2021-11-07,13566042
2021-11-08,13572494
2021-11-09,13578840
2021-11-10,13585212
2021-11-11,13591594
2021-11-12,13597967
2021-11-13,13604388
2021-11-14,13610714
2021-11-15,13617059
2021-11-16,13623378
2021-11-17,13629632
2021-11-18,13636022
2021-11-19,13642394
2021-11-20,13648626
2021-11-21,13654921
2021-11-22,13661208
2021-11-23,13667575
2021-11-24,13673914
2021-11-25,13680218
2021-11-26,13686521
2021-11-27,13692739
2021-11-28,13699125
2021-11-29,13705381
2021-11-30,13711588
2021-12-01,13717847
2021-12-02,13724084
2021-12-03,13730330
2021-12-04,13736624
2021-12-05,13742801
2021-12-06,13749029
2021-12-07,13755302
2021-12-08,13761568
2021-12-09,13767793
2021-12-10,13774075
2021-12-11,13780502
2021-12-12,13786990
2021-12-13,13793513
2021-12-14,13799999
2021-12-15,13806390
2021-12-16,13812868
2021-12-17,13819265
2021-12-18,13825733
2021-12-19,13832241
2021-12-20,13838694
2021-12-21,13845239
2021-12-22,13851681
2021-12-23,13858107
2021-12-24,13864522
2021-12-25,13870990
2021-12-26,13877450
2021-12-27,13883917
2021-12-28,13890394
2021-12-29,13896836
2021-12-30,13903355
2021-12-31,13909787
2022-01-01,13916166
2022-01-02,13922672
2022-01-03,13929167
2022-01-04,13935628
2022-01-05,13942122
2022-01-06,13948582
2022-01-07,13954974
2022-01-08,13961397
2022-01-09,13967922
2022-01-10,13974427
2022-01-11,13980849
2022-01-12,13987376
2022-01-13,13993833
2022-01-14,14000271
2022-01-15,14006710
2022-01-16,14013196
2022-01-17,14019700
2022-01-18,14026168
2022-01-19,14032630
2022-01-20,14039103
2022-01-21,14045592
2022-01-22,14051985
2022-01-23,14058541
2022-01-24,14064997
2022-01-25,14071446
2022-01-26,14077906
2022-01-27,14084333
2022-01-28,14090827
2022-01-29,14097299
2022-01-30,14103760
2022-01-31,14110299
2022-02-01,14116761
2022-02-02,14123262
2022-02-03,14129716
2022-02-04,14136139
2022-02-05,14142695
2022-02-06,14149082
2022-02-07,14155621
2022-02-08,14162082
2022-02-09,14168512
2022-02-10,14174989
2022-02-11,14181427
2022-02-12,14187947
2022-02-13,14194418
2022-02-14,14200888
2022-02-15,14207339
2022-02-16,14213859
2022-02-17,14220269
2022-02-18,14226745
2022-02-19,14233163
2022-02-20,14239570
2022-02-21,14246088
2022-02-22,14252522
2022-02-23,14258985
2022-02-24,14265472
2022-02-25,14271957
2022-02-26,14278387
2022-02-27,14284847
2022-02-28,14291335
2022-03-01,14297759
2022-03-02,14304254
2022-03-03,14310658
2022-03-04,14317109
2022-03-05,14323605
2022-03-06,14329981
2022-03-07,14336402
2022-03-08,14342848
2022-03-09,14349240
2022-03-10,14355748
2022-03-11,14362228
2022-03-12,14368559
2022-03-13,14375068
2022-03-14,14381395
2022-03-15,14387853
2022-03-16,14394258
2022-03-17,14400649
2022-03-18,14407075
2022-03-19,14413493
2022-03-20,14419942
2022-03-21,14426368
2022-03-22,14432775
2022-03-23,14439221
2022-03-24,14445661
2022-03-25,14452085
2022-03-26,14458509
2022-03-27,14464916
2022-03-28,14471311
2022-03-29,14477774
2022-03-30,14484226
2022-03-31,14490620
2022-04-01,14497034
2022-04-02,14503465
2022-04-03,14509822
2022-04-04,14516248
2022-04-05,14522571
2022-04-06,14529007
2022-04-07,14535425
2022-04-08,14541847
2022-04-09,14548185
2022-04-10,14554614
2022-04-11,14561015
