date,block_number,fee_variance_x128,num_positions
2022-03-10,14355748,180401075397786528317950864079716352,439
2022-03-17,14400649,138574194448234211945824565967454208,479
2022-03-24,14445661,85554347584594771406770829520797696,510
2022-03-31,14490620,159576448020541843115646442916544512,496
2022-04-07,14535425,136690606589869499369947776403111936,498
2022-04-14,14580220,44007825898688953553543053315145728,560
2022-04-21,14625067,78687032091663017827463706307461120,606
2022-04-28,14669558,98148457746177701416039589431214080,543
2022-05-05,14713964,77407408799051095982339699559628800,599
2022-05-12,14757896,242497609961688893505915413048852480,307
2022-05-19,14801796,224410134331170298325143653843992576,340
2022-05-26,14844802,158801849658156189215216096530923520,504
2022-06-02,14887796,23118626230389109068290156021153792,508
2022-06-09,14929561,13844369806295134938177205149106176,616
2022-06-16,14970303,91001118793513866273743338586767360,315
2022-06-23,15010211,72952376722301168411550365826154496,336
2022-06-30,15047598,156032500714940192034244963277471744,372
2022-07-07,15092101,57727935272476406235346918126387200,435
2022-07-14,15137389,48931790424546104658568646420856832,470
2022-07-21,15182614,71272055792670097041488039693516800,431
2022-07-28,15227621,52928929621090926925104837631672320,502
2022-08-04,15272548,59972129837307829196192008699379712,601
2022-08-11,15317426,49873099213985571312724132818321408,641
2022-08-18,15361719,51043939815847501263072985570344960,715
2022-08-25,15405908,87054892930140121025668740515102720,691
2022-09-01,15449618,49904670970474546297211803697938432,710
2022-09-08,15493290,46585003798106266935024529579180032,765
2022-09-15,15535777,88697771435671647668864679659175936,686
2022-09-22,15585173,102754607572314642447465467556659200,516
2022-09-29,15635279,56988126338348943998384355101638656,718
2022-10-06,15685344,72438489104555347032580764634972160,831
2022-10-13,15735471,58034579805523986884854466522120192,810
2022-10-20,15785590,61754681733305841595160503959683072,890
2022-10-27,15835687,56477727425290034294782216464498688,822
2022-11-03,15885773,57702908448758551364534264399921152,909
2022-11-10,15935900,104395873749086955714691224479727616,470
2022-11-17,15986020,47620838254210960828465164448694272,822
2022-11-24,16036116,93723717643178268335524434520571904,851
2022-12-01,16086234,49441806189104511284683754853892096,1015
2022-12-08,16136270,39117626343121289156177666129264640,1104
2022-12-15,16186378,25948052702749524983386618745323520,1151
2022-12-22,16236514,28320988164445325120312711214792704,1198
2022-12-29,16286697,33682195027884273567806876567994368,1220
2023-01-05,16336871,43939789220303911643694413822033920,1325
2023-01-12,16387000,67776633429459218928681317228871680,1139
2023-01-19,16437130,73439544795456769634950320855449600,1100
2023-01-26,16487270,24080228078102459746935917724565504,1138
2023-02-02,16537407,36488939649703845094158722658205696,1148
2023-02-09,16587477,12178840116645949333424272018767872,1201
2023-02-16,16637575,70651197856611875679471603965493248,1137
2023-02-23,16687396,7473876504203071563285235519979520,1217
2023-03-02,16737190,23797496025050667544284506223542272,1289
2023-03-09,16786949,14706512471295688371301326688092160,1262
2023-03-16,16836711,29912911196726461621512156154429440,1153
2023-03-23,16886553,15249412144765128074018864444211200,1126
2023-03-30,16936361,22819898271099431265280863049351168,1192
2023-04-06,16985957,13090763561518551123451861893382144,961
2023-04-13,17035258,21139386808189279270716541012803584,1059
2023-04-20,17084048,10093628284064174714514227918274560,950
2023-04-27,17133820,23414858110748331507286738510807040,1045
2023-05-04,17183607,12854985946902576232502977334607872,1063
2023-05-11,17233414,19000389534306424663042853221433344,1082
2023-05-18,17282745,31223161314520131525866845024288768,1095
2023-05-25,17332462,8785763900081476382033877447737344,1110
2023-06-01,17382266,13236337218940287817636482006384640,1136
2023-06-08,17431904,9840200474538080696714856484569088,1165
2023-06-15,17481593,12761232514774241782903408701734912,948
2023-06-22,17531464,13186662070430612543587525440045056,1158
2023-06-29,17581254,5955816521713672070169185583366144,1175
2023-07-06,17631108,20211705957351434487673236131676160,1174
2023-07-13,17680898,5903628027910389729157295460319232,1258
2023-07-20,17730667,9730778959077397669169673388687360,1240
2023-07-27,17780692,12603888668216552572857762713698304,1269
2023-08-03,17830756,12389658871473297677603195397865472,1248
2023-08-10,17880777,19005513242141574081215644181725184,1303
2023-08-17,17930828,50146101721676928411408023290904576,1213
2023-08-24,17980850,52473231979745778637982431314968576,992
2023-08-31,18030842,61071558835738006060277627103477760,1087
2023-09-07,18080835,27100844530689844269195445156184064,1032
2023-09-14,18130809,43216472383566153781527380894941184,1010
2023-09-21,18180542,24468513709481840164100335151874048,1081
2023-09-28,18230531,16846792159622970399012497381130240,1048
2023-10-05,18280593,10298202293083794776240403668533248,1155
2023-10-12,18330625,12916826725915573383726831230779392,1036
2023-10-19,18380672,7334060967089169768972959323521024,1098
2023-10-26,18430677,8271035028610877768817511283818496,1180
2023-11-02,18480694,6375394359727148766315479857889280,1228
2023-11-09,18530676,16671406229023163545802033256726528,1219
2023-11-16,18580727,32369168111002064435059859453378560,924
