date,block_number,tick_current,p10_tick,p90_tick,ref_tl,ref_tu,range_fg0,range_fg1,ref_fg0,ref_fg1,actual_pcr,num_in_range
2022-03-10,14355748,197205,191140,206240,195610,199820,852535117839830203442730753362232,261107356962617956157093685013264009733160,462183458777547721667222546798154,171869477401514411243636043701144209250173,0.5421283523764241,14267
2022-03-17,14400649,197031,191100,206260,193980,198260,930021078386772710452153318149117,297499735223599647556239126391941828674307,1288787012916469002272153760434254,440903361043407515910071811418490737237187,1.385761078826317,14092
2022-03-24,14445661,196130,190380,204990,193400,197230,1302475130329356322013460624507522,445448859129813866145646459279815293069421,926215868318181938435240465806495,279917574754935250068672179864799822187792,0.711119810851183,13770
2022-03-31,14490620,195049,189530,204620,193580,197300,1316541443378848847448579191253036,449616397921191309526036007353932763805599,340856242064211995753606571576958,119650878367807965578315782392205927651382,0.258902781814007,12844
2022-04-07,14535425,195693,190190,204620,194260,198040,577971557676217478159376535019178,177560079927780977097931539269201673830530,108755365862914010316914604202843,6450154699699864069835169451810173400648,0.1881673317977341,13453
2022-04-14,14580220,195873,190190,204650,195720,199470,593830642326287722031174637450473,182650713782265538783383718809267209773730,8269589732100740477661994427866,2751829531902838261699112248189372460177,0.013925838686439679,13653
2022-04-21,14625067,195995,190370,204700,194260,198040,1358891380356236835596674995484461,463040068111289431969106634695026751458726,135619279706855686280711012121273,15183856018329854178971183839343893194650,0.09980141287768178,13761
2022-04-28,14669558,196637,190760,205940,192640,196840,593167692979923985523296308888412,185204650289033008057503497439388336942846,334082201268094478168875111717850,119554649068339188013533285973000430239666,0.5632171226146021,13778
2022-05-05,14713964,196457,190760,205590,195680,199740,609474522902677561093341529267623,190954396749893672911165113634130861372827,12632985337426932029987976372727,115792089237316195423570985008687907848972954830651898577631690357169673987122,0.02072766762630404,13978
2022-05-12,14757896,199938,191980,207240,195770,200310,732166159620853444288619679560187,233402089262140813165968319306664653380531,30226345128866610131433647953833,115792089237316195423570985008687907852394332842277201391814855966910603937607,0.04128345011809763,14593
2022-05-19,14801796,200763,193370,207240,199360,203190,1043818064922414953918778615187726,376850607241049925115642465172494336079629,198686858190500159144999373664113,101145648204463050537488628975666452077415,0.19034625368863314,16307
2022-05-26,14844802,200616,193130,207240,197340,201390,897234301133391949224454928157950,307568232550523846018765140242976099571260,256314785341101962489566477442624,111991065176548200291971437074988510412848,0.2856720758639338,15845
2022-06-02,14887796,201275,193380,207240,198910,202540,1367341901942799447119064073460027,508796775420869232198406259615301148845372,131527556128798872532629451769341,66560278595289873222299522771066921201532,0.09619214911933643,16478
2022-06-09,14929561,201410,193500,207290,199510,203190,1563541551993601119276115342660400,559949702462747086548539940473250119377809,1563541551993601119276115342660400,559949702462747086548539940473250119377809,1.0,16166
2022-06-16,14970303,205118,193380,210830,202730,207760,1469597145185480854459939750904173,587818037701642723465426478386009171166476,78432987009793983729499065406781,65200557281725832786164771570812967921907,0.053370399681808574,9645
2022-06-23,15010211,206743,191150,214170,199840,207240,1707645763728343264223082450899842,685250251256002138514211762510557997486391,291615558080001284925335044734075,194296054531625384268580863104670568473956,0.17077052177572835,6328
2022-06-30,15047598,206301,191700,214170,200310,207240,178244775155497869518143008774326,151236597658395048831861148776839172653468,320661611943062422512179997006502,219167484200189323371345348288981422685273,1.798995856475021,6831
2022-07-07,15092101,205544,193380,212350,203190,208520,1571962430502722749829424744327281,682010803378481046861515762959460798866035,176409199408313381984961070955295,156359925067306560126065040779051227517812,0.112222274518289,8541
2022-07-14,15137389,206173,192660,214170,200820,207240,1297413321481453309461172619985006,556808726432852082864671915520562168251100,281119796426449273915114022214052,212565556242277106051819397150978316108332,0.21667713115929182,7405
2022-07-21,15182614,203039,193510,208810,199820,203880,856132106735885921903501952454347,438893323027428946598704762004879129001478,257683461649777508556557395534470,139964619811448087232951803206632748206897,0.300985630164285,13515
2022-07-28,15227621,202314,194280,207760,199820,203190,18980760339432300090302901110751,9795750897438812167629410978983359758503,266820750904226376403894335104076,145138613972412858063340549039997835852149,14.057432164606679,16097
