tokenId,tickLower,tickUpper,liquidity
1000012,-887270,887270,0
1000049,193380,198720,0
1000059,-887270,887270,0
1000064,197570,198900,0
100018,199140,199360,0
1000223,-887270,887270,0
1000260,197380,198390,0
1000272,197260,197890,0
1000288,318320,324610,0
1000309,196550,198280,0
1000333,-887270,887270,0
1000349,353290,355950,0
1000353,197310,198070,0
1000358,196730,198930,0
1000404,-887270,887270,0
1000431,197310,198570,0
1000491,197310,198280,0
1000502,-887270,887270,198931458462
1000507,196540,199360,0
1000530,196730,199450,0
1000548,196210,199640,0
100055,198390,198690,0
1000556,197330,198780,0
100059,197690,198910,0
1000636,197000,197990,0
1000668,197730,198340,0
1000716,354410,355910,0
1000747,197560,198630,0
1000761,197480,198480,0
1000795,197310,198450,0
1000799,197260,198700,0
1000814,-887270,887270,99611074619
1000876,197410,198520,0
1000877,354530,354940,0
1000883,354530,354940,0
1000885,197930,198620,0
1000887,196830,199730,0
1000900,197710,198120,0
1000916,195210,200010,0
100093,195660,200310,0
1000975,195680,199740,0
1000983,-887270,887270,79423095388
1000988,195260,201020,0
100102,198350,199090,0
1001039,197810,200020,0
1001048,197310,198200,0
1001059,194710,199350,0
1001097,197670,198460,0
1001107,211310,214150,0
1001108,-887270,887270,0
1001109,-887270,887270,0
1001111,197880,198080,0
1001120,197310,198490,0
1001160,188520,198000,0
1001204,194710,198080,0
1001205,197950,198050,0
100123,198470,199030,0
1001241,-887270,887270,0
1001245,197960,198100,0
1001312,193630,201090,0
1001347,198020,198270,0
1001364,197110,198650,0
1001435,197140,198610,0
1001445,197540,198440,0
1001449,195610,200310,0
1001450,195350,200010,0
1001452,197880,198080,0
1001462,196760,199080,0
1001473,197610,198160,0
1001480,196950,201360,0
1001481,-887270,887270,0
1001487,197230,198250,0
1001489,196950,201360,0
1001497,196600,198000,0
1001535,-887270,887270,288720976725
1001605,197800,198760,0
1001614,197890,197950,0
1001626,-887270,887270,0
1001634,197340,197920,0
1001638,197730,198120,0
1001652,197920,197980,27693620572459
1001674,212190,213900,0
1001681,212100,214020,0
1001685,-887270,887270,0
1001702,196780,198280,0
1001706,-887270,887270,0
1001764,198000,198200,0
1001836,197340,198940,0
1001964,197810,198010,0
1002000,197080,198600,0
1002027,197420,198420,0
1002030,196950,198760,0
1002031,197390,198400,0
1002106,197310,198080,0
1002111,197610,197810,0
1002116,197710,198280,0
1002124,196190,198570,0
1002129,196190,198570,0
1002138,195910,199370,0
1002141,197660,198070,0
1002153,-887270,276320,0
1002155,197230,198000,0
1002182,197420,197620,0
1002229,197590,197790,0
